Old_Segment,Old_Description
201022,Bonus / Exgratia Payable
201023,Burdcmps Members & Emploees Welfare Trust
201024,C C Retailors (Payable)
201025,Compensation Payable
201026,Covid Incentive Payable
201027,D T C Payable
201028,E S I Contractors
201029,Esicontribution Payable
201030,Gratuity Premium Payable
201031,Gratuity-Terminal Benifit
201032,Gslis-Terminal Benifit
201033,Gst Input Retention Money
201034,Gst Rate Difference Payable (Flavoured Milk)
201035,Incidental Charges Receivable From Insurance Co
201036,Kmf Service Tax
201037,Mstc Ltd - (Service Charge)
201038,Out Standing Liabilities
201039,Parlour Ground Rent Payable
201040,Retention Money
201041,Salary Disbursement
201042,Statutory Audit Fee Payable
201043,Vbmps Grant (Amcu Payable)
201044,Vbmps Grant (Milk Can Payable)
272115,AI Incentive Payable
201121,Bank Loan Staff
201122,Court Attachment Recovery
201123,E P F Recovery
201124,G S L I S
201125,Life Insurance Recovery &Remmittance
201126,Ppf/ Gpf Recovery
201127,Pt Recovery
201128,Staff Contribution On Compassion
201129,V P F Recovery
201130,C C Retaileres Balance(Salary Deduction)
201321,Advance From Mpcs For Chaff Cutter (Kmf)
201322,Advance From Mpcs For Cowmat (Kmf)
201323,Dynamix Dairy (Old Balance)
201324,Kanakapura Mega Dairy Project A/C
201325,Sundry Creditors Purchase
201326,Sundry Creditors Purchase-Kkp Dairy
201421,Concessioners Addnl Sec.Deposit (10P)
201422,Concessionery Security Deposit(Parlour)
201423,Credit Customers Deposit
201424,Earnest Money Deposit
201425,Earnest Money Deposit (Unidentified)
201426,Election Deposit
201427,Quarters Deposit
201428,Retailors Addnl Security Deposit (10 P)
201429,Retailors Security Deposit (Br)
201430,Security Deposit
201431,Security Deposit - Employees
201432,Tcd Retailors Addnl Sec Deposit (10 P)
201433,Wsd Customers Security Deposit
201521,"Kmf-Cattle Feed Plant, Arakalagudu"
201522,"Kmf - Cattle Feed Plant, Dharwada"
201523,"Kmf - Cattle Feed Plant, Gubbi"
201524,Kmf- Cattle Feed Plant- K.R Pete
201525,"Kmf - Cattle Feed Plant, Nakoda"
201526,"Kmf - Cattle Feed Plant, Rajanakunte"
201527,"Kmf - Cattle Feed Plant, Shikaripura"
201651,AP Migration Clearing
104760,KMF SALES DEPOT (KARNATAKA)
104780,K.M.F & UNITS
104850,INTER UNION DEBTORS
104860,INTER UNION DEBTORS
104900,SUNDRY DEBTORS(OTHERS)
104910,SUNDRY DEBTORS(OTHERS)
105000,BANK ACCOUNTS
105010,CAMP BANK ACCOUNTS
105020,CAMP BANK ACCOUNTS
105200,TRANSACTION BANK ACCOUNTS
105210,TRANSACTION BANK ACCOUNTS
105300,COLLECTION BANK ACCOUNTS
105310,COLLECTION BANK ACCOUNTS
105400,SCHEMES BANK ACCOUNTS
105410,SCHEMES BANK ACCOUNTS
105500,WCL BANK ACCOUNTS
105510,WCL BANK ACCOUNTS
105600,OTHER BANK ACCOUNTS
105610,OTHER BANK ACCOUNTS
105700,BANK CLEARING ACCOUNTS
105710,CAMP BANK CLEARING ACCOUNTS
105720,CAMP BANK CLEARING ACCOUNTS
105800,TRANSACTION BANK CLEARING ACCOUNTS
105810,TRANSACTION BANK CLEARING ACCOUNTS
105900,COLLECTION BANK CLEARING ACCOUNTS
105910,COLLECTION BANK CLEARING ACCOUNTS
106000,SCHEMES BANK CLEARING ACCOUNTS
106100,SCHEMES BANK CLEARING ACCOUNTS
106200,WCL BANK CLEARING ACCOUNTS
106210,WCL BANK CLEARING ACCOUNTS
106300,OTHER BANK CLEARING ACCOUNTS
106310,OTHER BANK CLEARING ACCOUNTS
TL,Total Liabilities
200100,CAPITAL ACCOUNT
200110,MEMBERS FUNDS
200120,MEMBERS FUNDS
200130,MEMBERS FUNDS
200200,RESERVES & SURPLUS
200210,GENERAL RESERVES
200220,GENERAL RESERVES
200230,GENERAL RESERVES
300000,Other Reserves
300100,Reserves Retained
200300,OTHER FUNDS
200310,OTHER FUNDS
200320,OTHER FUNDS
200400,PROVISION
200410,PROVISION
200420,PROVISION
200500,GOK -GOI CAPITAL GRANTS
200510,GOK -GOI CAPITAL GRANTS
200520,GOK -GOI CAPITAL GRANTS
200530,GOK -GOI CAPITAL GRANTS
200600,SECURED LOANS
200610,SECURED LOANS
200620,SECURED LOANS
200650,UNSECURED LOANS
200660,UNSECURED LOANS
200670,UNSECURED LOANS
200700,CURRENT LIABILITIES
200710,AUDIT OBJECTIONS CR
200720,AUDIT OBJECTIONS CR
200730,AUDIT OBJECTIONS CR
200750,DCS DUES PAYABLE
200760,DCS DUES PAYABLE
200770,DCS DUES PAYABLE
200800,INTER UNION - CREDITORS
200810,INTER UNION - CREDITORS
200900,KMF AND UNITS
200910,KMF AND UNITS
200920,KMF AND UNITS
201000,OTHER - CREDITORS
201010,OTHER - CREDITORS
201020,OTHER - CREDITORS
201100,SALARY RECOVERIES
201110,SALARY RECOVERIES
201120,SALARY RECOVERIES
201200,DUTIES & TAXES
201210,Taxes
201220,Tax Liability Accounts
201300,SUNDRY CREDITORS
201310,SUNDRY CREDITORS
201320,SUNDRY CREDITORS
201400,DEPOSITS
201410,DEPOSITS
201420,DEPOSITS
201500,SUNDRY CREDITORS- CATTLE FEED
201510,SUNDRY CREDITORS- CATTLE FEED
201520,SUNDRY CREDITORS- CATTLE FEED
201600,ACCRUALS
201610,Accruals
201620,Accrual Accounts
201650,Migration Clearing Accounts
201700,S C H E M E S
201710,S C H E M E S
201720,S C H E M E S
201730,S C H E M E S
NP,Net Profit
400200,SALE OF MILK & PRODUCTS
400210,INTER-STATE SALES MILK PROD
400220,I-S SALE OF MILK PRODUCTS
400300,I-S SALE OF NMP PRODUCTS
400350,LOCAL SALE OF MILK PRODUCTS
400360,LOCAL SALES MILK PRODUCTS
400400,SALE OF NMP PRODUCTS(LOCAL)
400450,SALES P& I TRADING
400460,LOCAL SALES P&I TRADING
400470,LOCAL SALES P&I TRADING
400550,SCRAP & OTHER MATERIALS
400560,SALES OF SCRAP & OTHERS
400570,SALES OF SCRAP & OTHERS
400600,SERVICE TURNOVER
400610,SERVICE TURNOVER
400620,SERVICE TURNOVER
400700,STORE MTRLS & RAW MATERIALS SALES
400710,SALES STORE MATERIALS & RAW MATERIALS
400720,LOCAL SALE OF STORE & RAW MATERIALS
400800,OTHER INCOME
400810,OTHER INCOME
400815,OTHER INCOME
400820,OTHER INCOME
400900,P&I INCOME
400910,P&I INCOME
400920,P&I INCOME
400950,INTEREST ON DEPOSITS & ADVANCES
400960,INTEREST ON DEPOSITS & ADVANCES
400970,INTEREST ON DEPOSITS & ADVANCES
401000,SALE OF CANTEEN COUPONS
401010,SALE OF CANTEEN COUPONS
401020,SALE OF CANTEEN COUPONS
401100,Revenue Accounts
401110,Revenue Accounts
401120,Revenue Accounts
500010,Cost of Sales
500020,Org Sale Cost
500030,Cost of Sales
500110,Direct Cost
500120,Other Direct Costs
500200,PURCHASE MILK & MILK PRODUCTS
500210,LOCAL PURCHASE
500220,LOCAL PUR OF MILK PRODUCTS
500300,LOCAL PUR OF MILK
500350,PURCHASE OF P&I ITEMS (MAIN GROUP)
500360,PURCHASE P&I ITEMS (TRADING)
500370,PURCHASE P&I ITEMS (TRADING)-EXEMPT
500400,PURCHASE OF P&I ITEMS (TRADING) INTER-STATE
500450,PURCHASE OF P&I ITEMS (TRADING) LOCAL
500600,PURCHASE OF P& I ITEMS (NON TRADING)
500610,PURCHASE OF P&I ITEMS (NON-TRADING) INTER-STATE
500650,PURCHASE OF P&I ITEMS (NON-TRADING) LOCAL
500700,PROCUREMENT TRANSPORTS
500710,PROCUREMENT TRANSPORTS
500720,PROCUREMENT TRANSPORTS
500730,PROCUREMENT TRANSPORTS
500800,PURCHASE STORES
500810,CAPITAL GOODS
500820,CAPITAL GOODS
500830,CAPITAL GOODS
500850,MECHANICAL STORE-IS
500860,MECHANICAL STORE-IS
500870,MECHANICAL STORE-IS
500900,MECHANICAL STORE-LOCAL
500910,MECHANICAL STORE-LOCAL
500920,MECHANICAL STORE-LOCAL
501000,STATIONARY/FURNITURE STORE-LOCAL
501100,STATIONARY/FURNITURE STORE-LOCAL
501110,STATIONARY/FURNITURE STORE-LOCAL
501150,KANAKAPURA DAIRY
501160,KANAKAPURA DAIRY-IS
501170,KANAKAPURA DAIRY-IS
501180,KANAKAPURA DAIRY-IS
501250,KANAKAPURA DAIRY-LOCAL
501260,KANAKAPURA DAIRY-LOCAL
501270,KANAKAPURA DAIRY-LOCAL
501350,P&I WING EXPENSES
501360,P&I WING EXPENSES
501370,P&I WING EXPENSES
501380,P&I WING EXPENSES
501500,STAFF EXPENSES
501510,CANTEEN EXPENSES
501520,CANTEEN EXPENSES
501530,CANTEEN EXPENSES (BNG)
501550,CANTEEN EXPENSES (HKT)
501570,CANTEEN EXPENSES (KKP)
501600,ADMINISTRATIVE EXPENSES
501610,ADMINISTRATIVE EXPENSES
501620,ADMINISTRATIVE EXPENSES
501630,ADMINISTRATIVE EXPENSES
501700,MANUFACTURING EXPENSES
501710,MANUFACTURING EXPENSES
501720,MANUFACTURING EXPENSES
501730,MANUFACTURING EXPENSES
501800,RATES & TAXES
501810,RATES & TAXES
501820,RATES & TAXES
501830,RATES & TAXES
501900,INTEREST & BANK CHARGES
501910,INTEREST & BANK CHARGES
501920,INTEREST & BANK CHARGES
501930,INTEREST & BANK CHARGES
501950,SELLING & DISTRIBUTION EXPENSES
501960,SELLING & DISTRIBUTION EXPENSES
501970,SELLING & DISTRIBUTION EXPENSES
501980,SELLING & DISTRIBUTION EXPENSES
502050,Other Expenses
502060,Other Expenses
502070,Other Expenses
502080,Other Expenses
502150,Transport Expenses
502160,Transport Expenses
502200,Depreciation Expenses
502210,Depreciation Expenses
502250,Provisions
502260,Provisions
201652,AR Migration Clearing
201653,FA Migration Clearing
201654,INV Migration Clearing
201731,Gok Milk Purchase Subsidy
201732,Gok Mpcs Staff Incentives Account
201733,Gok Subsidy Return/Disbursement
201734,Indigenous Breed Milk Proc. & Mktg Grant
201735,Kmf Dcs Building Subsidy
201736,Kmf- N R L M Phase 1
201737,Kmf Rotary Kamadhenu
201738,Kmf Sanjeevini
201739,Kmf Sanjeevini 2019-20
201740,Kmf Sanjeevini (2020-21)
201741,Kmf Sanjeevini 2021-22
201742,National Beekeeping & Honey Mission (Nbhm) Scheme
201743,Nml-Feed & Fodder Scheme
201744,Npdd Grant A/C
201745,Nrlm Phase-2 8/101(First)
201746,Nrlm Phase-2 8/72(Excess)
201747,Nrlm Phase-3
201748,Step Programme Vii
201749,Village Based Milk Procurement System
400221,I S Sale Of Butter
400222,I S Sale Of Cheese
400223,I S Sale Of Ghee
400224,I S Sale Of Ghee Residue
400225,I S Sale Of Butter Milk
400226,I S Sale Of Curd
400227,I S Sale Of H L L Milk Flexi
400228,I S Sale Of Kala-Khand
400229,I S Sale Of Khova
400230,I S Sale Of Mysore Pak
400231,I S Sale Of Paneer Burfi
400232,I S Sale Of Paneer
400233,I S Sale Of Peda
400234,I S Sale Of Thrupti Milk Flexi
400301,I S Sale Of Butter Milk-NMP
400302,I S Sale Of Curd-NMP
400303,I S Sale Of Milk (Bulk)-NMP
400304,I S Sale Of Milk (Retail)-NMP
400361,Sale Of Butter (Local)
400362,Sale Of Cheese (Local)
400363,Sale Of Flavoured Milk (L)
400364,Sale Of Ghee (Local)
400365,Sale Of Curd (Local)
400366,Sale Of Kalakhand (Local)
400367,Sale Of Khova (Local)
400368,Sale Of Mysore Pak (Local)
400369,Sale Of Paneer Burfi (Local)
400370,Sale Of Paneer (Local)
400371,Sale Of Peda (Local)
400372,Sale Of Smp (Local)
400373,Sale Of Smp Sweep (Local)
400374,Sale Of Sweet Lassi (Local)
400375,Sale Of Thrupti Milk Flexi (L)
400376,Sale Of Vijaya Vajra Milk (Flexi Pack) (L)
400377,Sale Of Whey Powder (Local)
400378,Sale Of Wmp (Local)
400379,Sale Of Fresh Cream (Local)
400380,Sale Of Milk (Bulk-Local)
400381,Sale Of Milk (Retail-Local)
400382,Sale Of Raw Milk (Lsl)
400401,Sale Of Nmp Products (Loc-Trd)-NMP
400402,Sale Of Uht Milk (Gl) (Loc-Trd)-NMP
400403,Sale Of Water (Packed) (L)-NMP
400471,Sale Of Calf Starter
400472,Sale Of Cattle Feed
400473,Sale Of Fat Plus (Fs )
400474,Sale Of Fodder Seeds
400475,Sale Of Frozen Semen
400476,Sale Of Goudhar Shakthi
400477,Sale Of Min. Mixture
400478,Sale Of Nutrisac (Fs)
400479,Sale Of Samrudhi Feed Supplement
400480,Sale Of A I Equipments (L)
400481,Sale Of Alu Milk Cans (L)
400482,Sale Of Chaff Cutter (L)
400483,Sale Of Dcs Material-Consumable (L)
400484,Sale Of Dcs Materials-Equipments (L)
400485,Sale Of Hydroponic Unit (L)
400486,Sale Of Milk Cans & Lids (L)
400487,Sale Of Milking Machine (L)
400488,Sale Of Solar Power Pack Accessr (L)
400489,Sale Of S S Milk Cans (L)
400490,Sale Of Vety Drugs (L)
400491,Sale Of Animal Lifting Travis (L)
400492,Sale Of Books & Registers(L)
400493,Sale Of Elec. Weighg Scale (L)
400494,Sale Of Liquid Nitrozen (L)
400495,Sale Of Milk Analysers (Gen) (L)
400496,Sale Of Rubber Sheet For Cow (L)
400571,I S Sale Of Scrap
400572,I S Sale Of Scum Waste Fat
400573,Sale Of Scrap (Local)
400574,Sale Of Bottle Coolers (Local)
400575,Sale Of Ins. Ice Box (Local)
400576,Sale Of Visi Coolers (Local)
400577,Sale Of Uniform Cloth (Local)
400621,Building Rent (Receipt)
400622,Concessionary Fees -60
400623,Freight Outward Revenue
400624,Milk Transport
400625,Parlour Rent - Receipt
400626,Water Efflument Treatment
400721,Sale Of Store Material (Local)
400722,Sale Of Fuel & Lubricants (Local)
400723,Sale Of Ldpe Pouch Film (Local)
400724,Sale Of Packing Mtrls For Products (L)
400725,Sale Of Raw Materials & Ingredients (L)
400821,Agency & Renewal Fees
400822,Application Fees
400823,Contract Transfer Fee
400824,Discounts/Rebate/Shortage/ Excess
400825,F I N E S (Receipt)
400826,Forfeiture Account
400827,Interest On Income Tax Refund
400828,Interest On Over Dues Of Ccr
400829,Miscelenious Receipts
400830,Quarters Rent
400831,Recruitment Application Fee
400832,Reprocessing Charges
400833,Share Admission Fee
400834,Share Application Fees
400921,Emergency & Mvr Coupons
400971,Interest On Bank Sb A/C
400972,Interest On Fixed Deposit
400973,Interest On Fixed Deposits - Co-Op Banks
400974,Interest On Service Deposits & Others
400975,Interest On Staff Advance
401021,Sale Of Canteen Coupons (Knp Dairy) - Gst 5 %
401022,Sale Of Canteen Coupons (Hkt Dairy) - Gst 5 %
401023,Sale Of Canteen Coupons (Bng) - Gst 5%
500221,L-Pur Nandini Aqua Water
500222,L-Pur-Nmp Products
500223,L-Pur-Uht Milk
500301,L-Pur-Milk
500302,Procurement Service Charges(KMF)
500371,Pur-Fodder & Seeds
500372,Pur-Mineral Mixture Feed Suppliment
500401,PURCHASE OF P&I ITEMS (TRADING) I.S
500402,Pur Of Dcs Mtrl-Chemicals (Trdg- I.S.)
500403,Pur Of Dcs Mtrl-Equipments ( Trd-I.S)
500404,Pur Of Milk Can & Lids (Trd- I.S)
500405,Pur Of Rubber Mat For Cow (Trdg- I.S.)
500406,Pur Of Nutri Sac (Trd - I.S.)
500451,PURCHASE OF P&I ITEMS (TRADING) L
500452,Pur Of Chaff Cutter (Trd-Local)
500453,Pur Of Milking Machine ( Trd-Local)
500454,Pur Of Dcs Material-Consumable (Is)
500455,Pur Of Dcs Material-Stationary (L)
500456,Pur Of Dcs Mtrl-Chemicals ( Trd-Local)
500457,Pur Of Dcs Mtrl-Equipments ( Trd-Local)
500458,Pur Of Liquid Nitrozen ( Trd-Local)
500459,Pur Of Milk Analyser - Gen ( Trd-Local)
500461,Pur Of Pet Strapping Met Clip ( Trd-Local)
500462,Pur Of Pp/Pet Strapping Roll ( Trd-Local)
500463,Pur Of Solar Power Pack ( Trd-Local)
500464,Pur Of Calf Feed (Trd-Local)
500465,Pur Of Cattle Feed (Trd-Local)
500466,Pur Of Fodder & Seeds (Trd-Local)
500467,Pur Of Frozen Semen Straw (Trd-Local)
500468,Pur Of Godhar Shakthi (Trd-Local)
500469,Pur Of Mineral Mixture (Trd-Local)
500470,Pur Of Nutri Sac (Trd - Local)
500471,Forex Gain/Loss
500611,Pur Of Vety Drugs (Non-Trd) I.S
500612,PURCHASE OF P&I ITEMS (NON-TRADING) I.S
500651,PURCHASE OF P&I ITEMS (NON-TRADING) LOCAL
500652,Pur Of Vety Drugs (Non-Trd) Local
500653,L-Pur-Ai Surgicals & Equipments
500731,Ptc To Contractors - Desi Cow Milk
500831,Is-Pur Computers (Cap)
500832,L-Pur Canteen Equip (Cap)
500871,Is-Pur Industrial Saftey Items
500872,Is-Pur Machinary (Cap)
500873,Is-Pur Office Equipment (Cap)
500921,L-Pur Industrial Saftey Items
500922,L-Pur Machinary (Cap)
500923,L-Pur-Mechanical Store
500924,L-Pur Office Equipment (Cap)
501111,L-Pur Furniture (Cap)
501181,Kkp-Is-Purchase Of Transport Spares
501182,Kkp-Is-Pur Computers
501183,Kkp-Is-Pur Fuel Oil & Lubricants
501184,Kkp-Is-Pur General & Con
501185,Kkp-Is-Pur Laboratory Mat
501186,Kkp-Is-Pur Mechanical Store
501187,Kkp-Is-Pur Packing Mat
501188,Kkp-Is-Pur Plant & Machinary (Cap)
501189,Kkp-Is-Pur Raw Mat & Ingrediants
501271,Kkp-L-Pur Canteen Utentials
501272,Kkp-L-Pur Computer (Cap)
501273,Kkp-L-Pur Fuel Oil & Lubricants
501274,Kkp-L-Pur General & Con
501275,Kkp-L-Pur Laboratory Equip
501276,Kkp-L-Pur Laboratory Mat
501277,Kkp-L-Pur Ldpe Films
501278,Kkp-L-Pur Mechanical Store
501279,Kkp-L-Pur Office Equip (Cap)
501280,Kkp-L-Pur Packing Mat
501281,Kkp-L-Pur Plant & Machinary (Cap)
501282,Kkp-L-Pur Printing & Stationary
501283,Is-Pur-Fuel Oil & Lubricants
501284,Is-Pur-General & Con
501285,Is-Pur-Ldpe Film-18%
501286,Is-Pur-Mechanical Store
501287,Is-Pur-Packing Materials
501288,Is-Pur-Printing & Stationary
501289,Is-Pur-Raw Mat & Ingrediants
501290,L-Pur-Computer & Spares
501291,L-Pur-Fuel Oil & Lubricants
501292,L-Pur-General & Con
501293,L-Pur-Ldpe Film
501294,L-Pur-Packing Mat
501295,L-Pur-Printing & Stationary
501296,L-Pur-Raw Mat & Ingrediants
501297,L-Pur-Transport Store
501298,Hkt-Is-Pur-Fuel Oil & Lubricants
501299,Hkt-L-Pur-Fuel Oil & Lubricants
501381,Incidental Expense For Cattle Insurance
501382,Ai Incentive Expenses
501383,Bamul Contribution To Npdd Scheme
501384,Calf Rally
501385,Camp Office Expenses
501386,Cattle Insurance Premium
501387,Cmp Training Program Exp
501388,Contribution For Kmf Sanjeevini
501389,Dcs Building Subsidy
501390,Dcs Land/Site Purchase Subsidy
501391,"Feed ,Fodder & Other Freight Charges"
501392,Fodder Development Exps
501393,Foot & Mouth Vaccination - Exp
501394,Indigenious Breed Project - Expenses
501395,Ln2 Corpus Fund
501396,Model Cow Shed Subsidy
501397,Professional Charges-Vet.Doctors
501398,Rajanukunte Farm Expenses
501399,Regional Meeting Expenses
501400,Rent (Camps)
501401,Subsidy For Calf Feed/Calf Starter
501402,Subsidy For Chaff Cutters
501403,Subsidy For Chelated M.M.Sales
501404,Subsidy For Dcs Material (Consumable)
501405,Subsidy For Dcs Material (Equipments)
501406,Subsidy For El.Weighing Scale (Gen)
501407,Subsidy For Fat Plus (Fs)
501408,Subsidy For Fodder Seeds Sales
501409,Subsidy For Goudhar Shakti
501410,Subsidy For Hydroponic Unit
501411,Subsidy For Milk Analysers (Gen)
501412,Subsidy For Milking Machine (Gen)
501413,Subsidy For Nutricsac (Fs)
501414,Subsidy For Rubber Sheets (Sales)
501415,Subsidy For Samvriddhi Feed Suppl (Fs)
501416,Subsidy For Semen Straw'S
501417,Subsidy For Vety.Drugs
501418,Training Of Dcs Personnel
501531,Bng-L-Pur-Canteen Grocessories & Veg
501551,Hkt-L-Pur-Canteen Grocessories & Veg
501571,Kkp-L-Pur-Canteen Grocessories & Veg
501572,Canteen Expenses-Kkp
501573,Deputation Staff Cost
501574,E D L I Premium
501575,Employees Medical Insurance/In Patient Reimbursement
501576,E P F Contribution
501577,EPF Administrative Charges
501578,Gratuity Premium
501579,Leave Encashment (Regular)
501580,Leave Encashment(Superannuation)
501581,Medical Reimbursement Out Patient
501582,Salary
501583,Staff Welfare Expenses
501584,Labour Welfare Fund Contribution
501585,L-Pur-Uniform
501631,Annual Maintenance Contract-General
501632,Board Election Expenses
501633,Board Meeting Expenses
501634,Board Sitting Fee
501635,Board Study Tour
501636,Board T A - D A
501637,Books & Periodicals
501638,Compensation On Compassionate Grounds
501639,Computer Maintenance Expenses
501640,Ganesha Temple Trust -Bamul
501641,Garden Maintenance
501642,G B M Prizes
501643,General Body Meeting
501644,L-Pur-Office Exp
501645,L-Pur-Office Function Exp
501646,L-Pur Sports & Cultural Mat
501647,L-Pur-Union Dispensory Drugs
501648,Guest Cherges
501649,Home Travel Concession
501650,Honourorium To Nmpc Preist
501651,Honourorium To President
501652,Inauguration Expenses
501653,Legal Expenses
501654,Licence & Renewal Charges
501655,National Festval & Pooja Expenses
501656,Office Expenses
501657,Office Meeting Expenses
501658,Petrol & Diesel Expenses
501659,Postage & Telegram Expenses
501660,Pre Audit Fee
501661,Printing & Stationary
501662,Professional Service Fees
501663,Recruitment Expenses
501664,Repairs & Maintenance Of Building- General
501665,Repairs To Office Equipment
501666,Repairs To Others
501667,Security Service Charges
501668,Service Charge-Mstc (Expenses)
501669,Sports And Cultural Expenses
501670,Staff Training
501671,Sub-Comittee Meeting Expenses
501672,"Telephone , Internet & Mobile Tel.Charges"
501673,Tender & Notification
501674,Travelling & Conveyance
501675,Vehicle (Car) Hire Charges- General
501676,Property/Building Tax
501731,Annual Maintainanace Contract- P&M
501732,Bmc Maintainance
501733,Butter Conversion Charges
501301,KKP-PUR-FIREWOOD CHIPS
